,discount,learning rate,mf weight,mb weight,subject,true discount,inferred discount,true learning rate,inferred learning rate,true mf weight,inferred mf weight,true mb weight,inferred mb weight
0,0.7685501,0.50267106,3.725011,0.73268515,0,0.92978925,0.7950751,0.72846437,0.6108871,5.8300567,4.535428,2.053999,2.1444511
1,0.12248395,0.905327,0.91609204,1.9514778,1,0.10158658,0.18877105,0.8516699,0.7834003,1.6539434,1.0787475,0.82444847,1.0201395
2,0.3924976,0.3721275,2.45689,5.255993,2,0.5100246,0.31441668,0.3487808,0.41053307,1.0886478,3.246451,3.8731656,4.3141456
3,0.2206568,0.46625167,4.542731,1.7102759,3,0.20072603,0.3705862,0.4966032,0.54337645,5.106858,3.5128815,1.2571095,2.0030417
4,0.24975479,0.3751228,1.3403504,3.0074077,4,0.5636237,0.3992468,0.5915639,0.59961,1.1047064,2.4198163,5.057411,4.69016
5,0.05664849,0.31098562,3.117949,1.5997692,5,0.08224088,0.13952766,0.2007947,0.2395579,0.3191929,1.0988104,1.8089586,1.8138667
6,0.8220906,0.7716626,4.799725,3.2043939,6,0.6974948,0.81844556,0.7855255,0.7395788,5.360653,4.5570693,2.7254667,1.4402468
7,0.09303214,0.20724452,0.5736238,1.6697671,7,0.010758042,0.06142054,0.15983975,0.19501643,4.6170077,1.9639388,0.893319,1.4054686
8,0.15068935,0.69227177,5.531743,5.7306795,8,0.2935878,0.29167584,0.5445034,0.54802674,3.1822925,2.8042734,5.1143513,4.9681425
9,0.7836877,0.12249711,4.7059126,3.5302038,9,0.5453103,0.53567386,0.13225424,0.11366851,5.209705,3.6818197,2.3316028,3.6639912
10,0.5948072,0.6228953,2.1910942,4.24346,10,0.46085912,0.5212114,0.64375603,0.65076756,3.4229932,2.891805,5.552685,4.52674
11,0.8632534,0.09628255,4.3327975,1.317447,11,0.5410338,0.5558396,0.043361664,0.08683964,5.8079586,3.8212252,2.8920698,3.7385259
12,0.29175058,0.4766819,1.8253695,1.505156,12,0.2832759,0.37024975,0.5831162,0.62677324,4.439723,2.9542732,0.9243032,2.852126
13,0.2391764,0.2124183,0.6267384,2.6718898,13,0.04219389,0.10975407,0.24903256,0.23113458,5.5317655,2.3671308,2.523285,2.7209346
14,0.21887358,0.6737317,1.9593816,3.1428072,14,0.1154325,0.22279115,0.5955821,0.62386173,0.95203936,1.580993,2.8950095,3.1280167
15,0.27245092,0.6192866,0.37896055,0.6829282,15,0.055960655,0.23120044,0.9656323,0.75285155,0.64943147,0.78305346,1.2614079,1.0170022
16,0.75278383,0.8588326,1.1904852,1.8959205,16,0.98046404,0.5577659,0.75334513,0.7519464,0.7787311,1.463625,1.4876801,1.1591189
17,0.7654545,0.7443338,5.279853,0.7729481,17,0.53191257,0.7663086,0.7061634,0.7074854,5.435806,4.427908,1.4676597,2.0491323
18,0.7860512,0.5341126,4.9303255,3.5930557,18,0.74617314,0.719298,0.5468628,0.5116099,4.5158668,4.344051,4.8820777,2.8619742
19,0.39213678,0.12754913,5.4477997,5.617934,19,0.65906227,0.53321177,0.10355556,0.11746788,2.9790888,3.8779254,1.6721281,3.6108873
20,0.23718956,0.40326092,0.8619814,4.1462955,20,0.1317761,0.22927292,0.3572244,0.39320076,0.51346743,1.7958107,4.579872,4.7659435
21,0.53270644,0.6147814,0.34149987,3.4373913,21,0.18148541,0.23032472,0.72801006,0.683286,3.9245682,2.0146391,3.0931678,3.3861785
22,0.4306595,0.18486172,3.3111227,5.3816853,22,0.73351324,0.35144067,0.14316458,0.121879995,1.5965724,2.629053,5.654798,4.169049
23,0.39166105,0.47182813,3.3295202,3.76586,23,0.6785201,0.63063806,0.5490863,0.528569,3.822877,3.3756907,5.6972275,4.726464
24,0.25059837,0.6210342,4.3567753,0.6510828,24,0.33290517,0.36873353,0.5827464,0.60328525,4.74405,4.2174754,1.7128347,0.9100662
25,0.13156055,0.8021569,1.8456492,5.242481,25,0.32370323,0.28992945,0.76958376,0.7751212,0.45333695,1.6192365,5.1483293,5.3674197
26,0.73674387,0.43198493,1.5022757,4.9472237,26,0.3787797,0.5156165,0.42750794,0.39768544,3.6476984,2.4459658,5.7759023,4.7648253
27,0.23017052,0.7159207,4.3238516,0.9566322,27,0.33786625,0.34111172,0.5738422,0.53973895,1.8184544,1.9689229,1.0659735,1.3098323
28,0.5272976,0.040530864,4.2724767,0.09495067,28,0.6622398,0.5220581,0.07255471,0.07478657,3.6662445,3.670275,4.6678104,3.8039548
29,0.3515278,0.124462985,1.7932781,4.6013064,29,0.6026847,0.56093585,0.013551712,0.09355707,4.815852,3.96535,4.093859,3.6795325
30,0.23796324,0.35780555,4.2283115,0.85205877,30,0.20085877,0.20793112,0.31683046,0.29709056,3.5731754,3.2155473,1.0855039,0.9502516
31,0.65682244,0.83978945,1.307545,2.943605,31,0.28801745,0.45608398,0.83391553,0.816736,2.5248003,2.2063322,3.813152,2.9531515
32,0.5667947,0.07330644,4.017069,2.8131044,32,0.98874456,0.5641695,0.061059773,0.07380605,2.2658393,3.9770267,3.0043058,3.63191
33,0.66792184,0.32918575,1.7073696,4.5993605,33,0.63672537,0.57036585,0.40588617,0.42274216,2.7018304,3.2844858,5.830438,4.973302
34,0.32530507,0.5470726,4.6582937,4.7544565,34,0.3341614,0.38758263,0.48286033,0.46918973,2.835773,3.0642836,3.9866977,4.2834377
35,0.35801357,0.7856248,2.1021502,4.042756,35,0.41077733,0.38982496,0.65266,0.7227167,1.919069,2.3139594,3.3615708,3.6914783
36,0.5747176,0.7982409,5.0479136,3.630722,36,0.733877,0.6865447,0.74258584,0.741913,4.926414,4.198592,5.643794,3.4799175
37,0.100612864,0.7428772,1.1349748,3.6739619,37,0.30139792,0.21087405,0.6694874,0.6854443,1.3996736,1.3202745,2.4276152,2.9040978
38,0.3278658,0.490841,1.3277175,2.9616656,38,0.7226378,0.39581233,0.39211148,0.42824915,0.4595307,1.1625623,2.1772208,2.3742368
