,discount,learning rate,mf weight,mb weight,repetition,subject
0,0.29922214,0.42647362,0.92389244,0.9346667,0.59743893,0
1,0.55313414,0.23335536,0.62766707,1.306597,0.21400692,1
2,0.46624443,0.43593708,4.521534,4.4243927,0.6985834,2
3,0.29234663,0.7478321,2.5516777,1.5202134,0.7022466,3
4,0.353375,0.8199672,2.0928829,2.6291018,0.32671413,4
5,0.64523554,0.32329658,2.1130772,1.2786202,0.19557871,5
6,0.6326225,0.21276471,3.0786967,3.677405,0.86146265,6
7,0.4967008,0.25086924,3.8473034,1.9470389,0.87942165,7
8,0.38706344,0.7609384,2.742407,2.7378078,0.54492843,8
9,0.30503336,0.563051,1.3147227,3.7454603,0.4946322,9
10,0.4441189,0.76991487,2.52878,3.9559288,0.6559276,10
11,0.2881492,0.45712313,3.1463335,1.1459578,0.80933934,11
12,0.57522786,0.6407075,2.7324524,0.78655756,0.10739487,12
13,0.49807942,0.32058,0.93202496,1.7389119,0.5086198,13
14,0.4230998,0.5537197,0.9936024,1.7199043,0.63044,14
15,0.69557136,0.38267842,4.78119,2.3330247,0.4875406,15
16,0.5112614,0.85136265,1.1477777,2.1225092,0.5291018,16
17,0.58639777,0.22941151,1.7902989,5.066709,0.7938247,17
18,0.4147072,0.39728546,2.8942323,1.43571,0.48907018,18
19,0.52755636,0.35164934,5.327933,4.619048,0.4608388,19
20,0.5201388,0.42903513,4.9447627,4.2527704,0.7492814,20
21,0.5038987,0.7178718,3.5000906,4.8704414,0.4831818,21
22,0.4090884,0.6465383,2.174715,1.6056318,0.14988485,22
23,0.29684326,0.83639127,4.1316004,4.0155225,0.44753593,23
24,0.20838891,0.43276957,2.162015,2.8903418,0.6105905,24
25,0.6622433,0.220262,3.6589415,2.7584405,0.5791747,25
26,0.28547123,0.50145495,1.3807567,3.5348573,0.37711388,26
27,0.35564306,0.5669016,3.4926476,2.9713948,0.24796528,27
28,0.22053595,0.35232106,0.5692081,4.2920885,0.9313538,28
29,0.37489048,0.4268702,4.903557,4.324293,0.65790105,29
30,0.62127703,0.5565357,2.0738533,2.4505007,0.7590863,30
31,0.40435624,0.15366279,1.4649571,1.3121188,0.12517326,31
32,0.6569854,0.42780665,4.8309703,4.623819,0.79917943,32
33,0.22043301,0.68217814,2.2997346,1.3940357,0.7983766,33
34,0.6886044,0.30906433,4.2298784,4.875862,0.87926966,34
35,0.40488976,0.5441164,1.3318887,0.71034807,0.11800287,35
36,0.5379376,0.7161608,3.2952511,2.2121725,0.2727904,36
37,0.6819122,0.5132081,2.2397115,0.6247411,0.24192277,37
38,0.5621991,0.7508029,1.5450625,2.3622189,0.27485198,38
39,0.3832455,0.54714316,2.0377688,2.356512,0.70310867,39
40,0.4496213,0.71597445,4.6878395,4.3076034,0.95489204,40
41,0.29436913,0.5538973,2.0876362,0.8845041,0.47148126,41
42,0.36296257,0.6747334,2.231326,2.0740623,0.33924156,42
43,0.28794834,0.5541914,0.6962264,2.0863433,0.4268856,43
44,0.63958836,0.27920577,2.0959878,3.7046227,0.49730346,44
45,0.3227779,0.3560933,2.681099,2.6980581,0.6391955,45
46,0.52717257,0.46848813,1.8970517,1.7235401,0.57869226,46
47,0.6641281,0.24665952,3.4318247,3.2794943,0.25950763,47
48,0.71864474,0.42839894,5.0064483,5.3000755,0.47801626,48
49,0.14245956,0.7896875,5.278271,1.7024807,0.29384446,49
50,0.33896303,0.5350874,1.6856478,1.1321933,0.5104591,0
51,0.2785442,0.853575,4.5422053,3.549324,0.5346545,1
52,0.70177674,0.30936888,3.5824614,4.5155306,0.5900964,2
53,0.5685988,0.81706375,2.6177843,3.4263458,0.26978037,3
54,0.18310495,0.60001093,2.6260438,0.58330905,0.24391983,4
55,0.7581552,0.5803031,5.3980036,2.593338,0.7970476,5
56,0.69854736,0.26584244,4.277371,3.3391976,0.82766414,6
