,inferred discount,true discount,subject,inferred learning rate,true learning rate,inferred mf weight,true mf weight,inferred mb weight,true mb weight,inferred repetition,true repetition
0,0.3716695,0.13878542,0,0.6279184,0.88329256,2.225367,5.831762,2.1188765,1.8568686,0.38960883,0.5295074
1,0.40747392,0.26005572,1,0.63255006,0.7431386,2.2979956,3.107646,2.4164906,1.7491965,0.46973282,0.6635418
2,0.62090003,0.5296115,2,0.29455194,0.017167449,3.8895957,1.7016066,4.0485015,5.601427,0.5976173,0.124191284
3,0.40244898,0.15004581,3,0.6599633,0.9979424,2.116458,5.94586,2.0801344,4.503372,0.40392095,0.52882767
4,0.34988618,0.084929466,4,0.6475761,0.5460148,1.991546,0.65899086,1.8781738,0.03281057,0.3210902,0.10381168
5,0.6458306,0.8549662,5,0.3826464,0.34181893,3.6835685,5.1844835,2.3386977,0.20638204,0.61391896,0.19173956
6,0.6495896,0.70680207,6,0.28280035,0.15999454,3.8437183,2.774045,3.9941294,4.8344707,0.6084693,0.7003887
7,0.64640844,0.8329714,7,0.2869096,0.0056732297,3.921109,5.492095,3.985669,5.2749286,0.60767555,0.82918227
8,0.479768,0.35026908,8,0.64005136,0.9785553,2.3718102,5.5152774,2.0739253,1.6357834,0.6666619,0.94860774
9,0.34592235,0.031076312,9,0.5986681,0.410042,2.2557578,2.8984823,2.4258955,2.167254,0.3073211,0.11547536
10,0.38400593,0.47680485,10,0.60513455,0.5882805,2.2589736,1.6778076,2.6434038,3.3217502,0.38129485,0.09239733
11,0.5003649,0.33008623,11,0.5580459,0.44150138,2.8712559,3.6580524,2.238211,1.2365456,0.65393126,0.92681974
12,0.35531756,0.37460816,12,0.62277025,0.5046595,2.108704,0.9157659,2.0681195,1.5859716,0.3215653,0.34772158
13,0.37921894,0.26205355,13,0.6364729,0.923914,2.2163975,3.0784729,2.0073252,1.0320536,0.35383576,0.39971167
14,0.4174577,0.5921992,14,0.6219847,0.1368447,1.9820654,0.18468797,1.8416262,0.28880024,0.6869747,0.87211865
15,0.65414965,0.9737907,15,0.42457432,0.42791867,3.9026494,4.677852,2.8778396,2.6617675,0.6126977,0.5946402
16,0.35732222,0.025746882,16,0.6268068,0.3020243,2.0393534,1.1581922,1.8692669,0.059794307,0.32327572,0.33734345
17,0.64088756,0.6509295,17,0.3076961,0.1367271,3.888648,3.9394865,3.9356446,2.6474152,0.5980065,0.7989021
18,0.4407994,0.86555284,18,0.5925768,0.50922793,2.5725088,1.8003631,2.7659588,2.9959345,0.62682396,0.113482475
19,0.6447123,0.4922269,19,0.2932151,0.059574366,3.7949913,5.247343,4.0547056,5.583676,0.6030003,0.120299816
20,0.6375476,0.37046063,20,0.29505852,0.08522928,3.8807478,2.4132857,3.893807,2.4426508,0.602845,0.49333858
21,0.39009398,0.1759842,21,0.59632826,0.59426385,2.4389741,3.4122963,3.2320323,3.3523993,0.5275599,0.39587486
22,0.3794724,0.67180586,22,0.63808537,0.9686744,2.1278608,2.0936027,2.0778096,2.4440846,0.33503887,0.06055695
23,0.37217194,0.25022835,23,0.6377254,0.7693446,2.213333,2.0509586,2.3055005,3.6664217,0.32438183,0.022204459
24,0.39209846,0.22321069,24,0.5749529,0.5456891,2.4522789,3.9223216,3.5730338,5.058756,0.66166174,0.834003
25,0.6627475,0.1809923,25,0.2993708,0.1366877,3.9556894,4.0062494,3.0776312,0.4510671,0.63103265,0.61335766
26,0.37046722,0.15485883,26,0.5989947,0.60576874,2.3953898,4.8406887,3.5639758,4.4708223,0.37049645,0.3580392
27,0.4373895,0.5292105,27,0.616707,0.6842954,2.397845,1.3708713,2.1491525,2.4409266,0.58444077,0.8805287
28,0.38916755,0.22106332,28,0.56524384,0.47927874,2.4941268,3.107638,4.1212196,5.9166446,0.6357783,0.9822865
29,0.49942115,0.5740904,29,0.36393136,0.20772558,3.340714,0.86134493,4.120159,4.7575803,0.59558594,0.86795735
30,0.44132128,0.5323929,30,0.5972906,0.6165041,2.5543709,3.5786119,3.2813032,4.323195,0.6697431,0.6308557
31,0.4893218,0.32020563,31,0.53729147,0.42065102,3.0743744,3.8125148,2.9793818,2.6769166,0.66159654,0.3072406
32,0.6665618,0.97604525,32,0.29915848,0.20064086,3.9132986,1.7013291,3.858997,4.987237,0.61884695,0.80809313
33,0.40573364,0.8156034,33,0.6315132,0.7385583,2.135645,1.8414094,2.0900288,1.7349422,0.4754356,0.4547156
34,0.6416785,0.8181484,34,0.29404727,0.022736073,3.9675024,2.7819104,4.00259,2.4103925,0.6173767,0.030987084
35,0.36325788,0.07139212,35,0.64098364,0.9301758,2.1865122,4.2818565,1.9815154,1.3049637,0.32019043,0.30170625
36,0.40356514,0.6750709,36,0.63427085,0.91410375,2.1239333,2.3167841,2.0461714,0.36646664,0.41743237,0.652877
37,0.55675215,0.6634505,37,0.615836,0.73173106,2.6789248,3.7638159,2.2544136,0.7927877,0.6530085,0.90684485
