,inferred discount,true discount,subject,inferred learning rate,true learning rate,inferred mf weight,true mf weight,inferred mb weight,true mb weight,inferred repetition,true repetition
0,0.31708002,0.22101718,0,0.36553228,0.3073678,2.3584213,1.1363332,4.6952314,4.8675566,0.44315812,0.9069035
1,0.27108324,0.15958041,1,0.74793845,0.7551656,1.3697112,0.45014048,2.171628,2.9871888,0.58919835,0.8534131
2,0.4302696,0.6695664,2,0.29266796,0.3318019,1.8970288,1.3858348,2.3297436,2.7493606,0.23137647,0.0040107965
3,0.70969576,0.8484719,3,0.73325056,0.8534476,3.829143,5.2687216,1.51448,0.7414659,0.6545636,0.14964801
4,0.3313813,0.27838165,4,0.14747544,0.11902875,1.6101601,1.6400574,2.3332667,1.0899986,0.5232427,0.05168104
5,0.30768794,0.4878037,5,0.76890343,0.8375153,1.7557,1.695489,4.897581,5.734082,0.67301494,0.80111885
6,0.67359746,0.76491684,6,0.64389646,0.6811825,3.7046313,4.024723,3.0680728,3.8800297,0.7022146,0.6860734
7,0.30157417,0.27266175,7,0.5293254,0.50484836,2.3021379,0.80199015,5.1797614,5.924136,0.6409988,0.78760654
8,0.32070804,0.92493284,8,0.80565625,0.9721315,1.5200015,0.9702884,3.9115517,5.712671,0.20953415,0.23627293
9,0.47426525,0.4728309,9,0.1399686,0.14892226,3.3725142,1.6382099,4.184944,5.6110334,0.4727818,0.91890275
10,0.21338648,0.89893764,10,0.16583192,0.16690582,2.15442,0.44002855,4.871813,5.70765,0.56471115,0.13236207
11,0.49632967,0.8561341,11,0.54654217,0.15871352,0.6097271,0.20041251,0.47775808,0.2298013,0.48229933,0.058124125
12,0.29372516,0.20841473,12,0.7953978,0.88038677,1.5888356,1.5230023,4.441372,5.838974,0.62146425,0.9505064
13,0.38822728,0.1362822,13,0.22202952,0.24245048,3.0253894,5.905819,4.427203,5.1227603,0.5653993,0.9643253
14,0.27143285,0.6353602,14,0.30531263,0.30110788,1.47001,0.5375401,4.8131957,5.9744635,0.6512447,0.28501135
15,0.31564015,0.099539936,15,0.7668018,0.78232944,1.6948577,0.5363238,4.6257157,5.092891,0.40949282,0.75705576
